trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_quick_battle_troop_8_pl|Майстры мяча
trp_quick_battle_troop_9|Рундашыр
trp_quick_battle_troop_9_pl|Рундашыры
trp_quick_battle_troop_10|Пікінер
trp_quick_battle_troop_10_pl|Пікінеры
trp_quick_battle_troop_11|Алебардшчык
trp_quick_battle_troop_11_pl|Алебарды
trp_tutorial_fighter_1|Баец-Новічак
trp_tutorial_fighter_1_pl|Пачатковец
trp_tutorial_fighter_2|Баец-Новічак
trp_tutorial_fighter_2_pl|Пачатковец
trp_tutorial_fighter_3|Баец
trp_tutorial_fighter_3_pl|Баец
trp_tutorial_fighter_4|Баец-ветэран
trp_tutorial_fighter_4_pl|Ветэран
trp_tutorial_archer_1|Лучнік
trp_tutorial_archer_1_pl|Лучнік
trp_tutorial_master_archer|Трэнер лучнікаў
trp_tutorial_master_archer_pl|Трэнеры лучнікаў
trp_tutorial_rider_1|Вершнік
trp_tutorial_rider_2|Конны лучнік
trp_tutorial_master_horseman|Трэнер коннікаў
trp_tutorial_master_horseman_pl|Трэнеры коннікаў
trp_swadian_merchant|Гандляр з Меммингена
trp_vaegir_merchant|Гандляр з Брэшты
trp_khergit_merchant|Гандляр з Угэдэя
trp_nord_merchant|Гандляр з Смерхольма
trp_rhodok_merchant|Гандляр з Флавіі
trp_sarranid_merchant|Гандляр з Шарыза
trp_startup_merchants_end|канец спісу гандляроў
trp_startup_merchants_end_pl|канец спісу гандляроў
trp_sea_raider_leader|Капітан марскіх налётчыкаў
trp_sea_raider_leader_pl|Марскія налётчыкі
trp_looter_leader|Разбойнік
trp_looter_leader_pl|Марадзёр
trp_bandit_leaders_end|канец спісу бандытаў
trp_bandit_leaders_end_pl|канец спісу бандытаў
trp_relative_of_merchant|Брат гандляра
trp_relative_of_merchants_end|канец спісу сваякоў гандляра
trp_relative_of_merchants_end_pl|канец спісу сваякоў гандляра
trp_horse_smith_pol|Гандляр коньмі
trp_horse_smith_pol_pl|Гандляр коньмі
trp_horse_smith_rus|Гандляр коньмі
trp_horse_smith_rus_pl|Гандляр коньмі
trp_horse_smith_tatar|Гандляр коньмі
trp_horse_smith_tatar_pl|Гандляр коньмі
trp_horse_smith_swed|Гандляр коньмі
trp_horse_smith_swed_pl|Гандляр коньмі
trp_horse_smith_ukr|Гандляр коньмі
trp_horse_smith_ukr_pl|Гандляр коньмі
trp_castle_1_armorer|Броннік
trp_castle_2_armorer|Броннік
trp_castle_3_armorer|Броннік
trp_castle_4_armorer|Броннік
trp_castle_5_armorer|Броннік
trp_castle_6_armorer|Броннік
trp_castle_7_armorer|Броннік
trp_castle_8_armorer|Броннік
trp_castle_9_armorer|Броннік
trp_castle_10_armorer|Броннік
trp_castle_11_armorer|Броннік
trp_castle_12_armorer|Броннік
trp_castle_13_armorer|Броннік
trp_castle_14_armorer|Броннік
trp_castle_15_armorer|Броннік
trp_castle_16_armorer|Броннік
trp_castle_17_armorer|Броннік
trp_castle_18_armorer|Броннік
trp_castle_19_armorer|Броннік
trp_castle_20_armorer|Броннік
trp_castle_21_armorer|Броннік
trp_castle_22_armorer|Броннік
trp_castle_23_armorer|Броннік
trp_castle_24_armorer|Броннік
trp_castle_25_armorer|Броннік
trp_castle_26_armorer|Броннік
trp_castle_27_armorer|Броннік
trp_castle_28_armorer|Броннік
trp_castle_29_armorer|Броннік
trp_castle_30_armorer|Броннік
trp_castle_31_armorer|Броннік
trp_castle_32_armorer|Броннік
trp_castle_33_armorer|Броннік
trp_castle_34_armorer|Броннік
trp_castle_35_armorer|Броннік
trp_castle_36_armorer|Броннік
trp_castle_37_armorer|Броннік
trp_castle_38_armorer|Броннік
trp_castle_39_armorer|Броннік
trp_castle_40_armorer|Броннік
trp_castle_1_weaponsmith|Збройнік
trp_castle_2_weaponsmith|Збройнік
trp_castle_3_weaponsmith|Збройнік
trp_castle_4_weaponsmith|Збройнік
trp_castle_5_weaponsmith|Збройнік
trp_castle_6_weaponsmith|Збройнік
trp_castle_7_weaponsmith|Збройнік
trp_castle_8_weaponsmith|Збройнік
trp_castle_9_weaponsmith|Збройнік
trp_castle_10_weaponsmith|Збройнік
trp_castle_11_weaponsmith|Збройнік
trp_castle_12_weaponsmith|Збройнік
trp_castle_13_weaponsmith|Збройнік
trp_castle_14_weaponsmith|Збройнік
trp_castle_15_weaponsmith|Збройнік
trp_castle_16_weaponsmith|Збройнік
trp_castle_17_weaponsmith|Збройнік
trp_castle_18_weaponsmith|Збройнік
trp_castle_19_weaponsmith|Збройнік
trp_castle_20_weaponsmith|Збройнік
trp_castle_21_weaponsmith|Збройнік
trp_castle_22_weaponsmith|Збройнік
trp_castle_23_weaponsmith|Збройнік
trp_castle_24_weaponsmith|Збройнік
trp_castle_25_weaponsmith|Збройнік
trp_castle_26_weaponsmith|Збройнік
trp_castle_27_weaponsmith|Збройнік
trp_castle_28_weaponsmith|Збройнік
trp_castle_29_weaponsmith|Збройнік
trp_castle_30_weaponsmith|Збройнік
trp_castle_31_weaponsmith|Збройнік
trp_castle_32_weaponsmith|Збройнік
trp_castle_33_weaponsmith|Збройнік
trp_castle_34_weaponsmith|Збройнік
trp_castle_35_weaponsmith|Збройнік
trp_castle_36_weaponsmith|Збройнік
trp_castle_37_weaponsmith|Збройнік
trp_castle_38_weaponsmith|Збройнік
trp_castle_39_weaponsmith|Збройнік
trp_castle_40_weaponsmith|Збройнік
trp_castle_1_horse_merchant|Гандляр коньмі
trp_castle_2_horse_merchant|Гандляр коньмі
trp_castle_3_horse_merchant|Гандляр коньмі
trp_castle_4_horse_merchant|Гандляр коньмі
trp_castle_5_horse_merchant|Гандляр коньмі
trp_castle_6_horse_merchant|Гандляр коньмі
trp_castle_7_horse_merchant|Гандляр коньмі
trp_castle_8_horse_merchant|Гандляр коньмі
trp_castle_9_horse_merchant|Гандляр коньмі
trp_castle_10_horse_merchant|Гандляр коньмі
trp_castle_11_horse_merchant|Гандляр коньмі
trp_castle_12_horse_merchant|Гандляр коньмі
trp_castle_13_horse_merchant|Гандляр коньмі
trp_castle_14_horse_merchant|Гандляр коньмі
trp_castle_15_horse_merchant|Гандляр коньмі
trp_castle_16_horse_merchant|Гандляр коньмі
trp_castle_17_horse_merchant|Гандляр коньмі
trp_castle_18_horse_merchant|Гандляр коньмі
trp_castle_19_horse_merchant|Гандляр коньмі
trp_castle_20_horse_merchant|Гандляр коньмі
trp_castle_21_horse_merchant|Гандляр коньмі
trp_castle_22_horse_merchant|Гандляр коньмі
trp_castle_23_horse_merchant|Гандляр коньмі
trp_castle_24_horse_merchant|Гандляр коньмі
trp_castle_25_horse_merchant|Гандляр коньмі
trp_castle_26_horse_merchant|Гандляр коньмі
trp_castle_27_horse_merchant|Гандляр коньмі
trp_castle_28_horse_merchant|Гандляр коньмі
trp_castle_29_horse_merchant|Гандляр коньмі
trp_castle_30_horse_merchant|Гандляр коньмі
trp_castle_31_horse_merchant|Гандляр коньмі
trp_castle_32_horse_merchant|Гандляр коньмі
trp_castle_33_horse_merchant|Гандляр коньмі
trp_castle_34_horse_merchant|Гандляр коньмі
trp_castle_35_horse_merchant|Гандляр коньмі
trp_castle_36_horse_merchant|Гандляр коньмі
trp_castle_37_horse_merchant|Гандляр коньмі
trp_castle_38_horse_merchant|Гандляр коньмі
trp_castle_39_horse_merchant|Гандляр коньмі
trp_castle_40_horse_merchant|Гандляр коньмі
trp_castle_1_merchant|Гандляр
trp_castle_2_merchant|Гандляр
trp_castle_3_merchant|Гандляр
trp_castle_4_merchant|Гандляр
trp_castle_5_merchant|Гандляр
trp_castle_6_merchant|Гандляр
trp_castle_7_merchant|Гандляр
trp_castle_8_merchant|Гандляр
trp_castle_9_merchant|Гандляр
trp_castle_10_merchant|Гандляр
trp_castle_11_merchant|Гандляр
trp_castle_12_merchant|Гандляр
trp_castle_13_merchant|Гандляр
trp_castle_14_merchant|Гандляр
trp_castle_15_merchant|Гандляр
trp_castle_16_merchant|Гандляр
trp_castle_17_merchant|Гандляр
trp_castle_18_merchant|Гандляр
trp_castle_19_merchant|Гандляр
trp_castle_20_merchant|Гандляр
trp_castle_21_merchant|Гандляр
trp_castle_22_merchant|Гандляр
trp_castle_23_merchant|Гандляр
trp_castle_24_merchant|Гандляр
trp_castle_25_merchant|Гандляр
trp_castle_26_merchant|Гандляр
trp_castle_27_merchant|Гандляр
trp_castle_28_merchant|Гандляр
trp_castle_29_merchant|Гандляр
trp_castle_30_merchant|Гандляр
trp_castle_31_merchant|Гандляр
trp_castle_32_merchant|Гандляр
trp_castle_33_merchant|Гандляр
trp_castle_34_merchant|Гандляр
trp_castle_35_merchant|Гандляр
trp_castle_36_merchant|Гандляр
trp_castle_37_merchant|Гандляр
trp_castle_38_merchant|Гандляр
trp_castle_39_merchant|Гандляр
trp_castle_40_merchant|Гандляр
trp_oim_monfore_tutorial|Жак дэ Клермон
trp_oim_monfore_tutorial_pl|Жак дэ Клермон
trp_foot_gop|Бандыт
trp_foot_gop_pl|Бандыт
trp_mounted_gop|Бандыт
trp_mounted_gop_pl|Бандыт
trp_pahan_gop|Бандыт
trp_pahan_gop_pl|Бандыт
trp_schwarzer_ritter|Кірасір
trp_schwarzer_ritter_pl|Кірасір
trp_oim_shoha1_tutorial|Кірасір
trp_oim_shoha1_tutorial_pl|Кірасір
trp_oim_shoha2_tutorial|Кірасір
trp_oim_shoha2_tutorial_pl|Кірасір
trp_mp_rhodok_trained_spearman|Джура
trp_mp_rhodok_trained_spearman_pl|Джуры
trp_mp_rhodok_crossbowman|Вартаўнік
trp_mp_rhodok_crossbowman_pl|Вартаўнік
trp_mp_ukr_storoja|Вартаўніка з пікай
trp_mp_ukr_storoja_pl|Вартаўніка з пікамі
trp_mp_rhodok_veteran_crossbowman|Запарожскі кавалерыст
trp_mp_rhodok_veteran_crossbowman_pl|Запароская кавалерыя
trp_mp_n_khergit_horseman|Байрак
trp_mp_n_khergit_horseman_pl|Байракі
trp_mp_n_khergit_horse_archer|Джасак
trp_mp_n_khergit_horse_archer_pl|Джасакі
trp_mp_n_khergit_veteran_horse_archer|Мурза чамбул
trp_mp_n_khergit_veteran_horse_archer_pl|Мурза чамбул
trp_mp_n_zyndjirli|Нукер
trp_mp_n_zyndjirli_pl|Нукеры
trp_coop_moscovite_watchmen|Маскоўскі дазорца
trp_coop_moscovite_watchmen_pl|Маскоўскія дазорцы
trp_coop_dragoons|Драгун
trp_coop_dragoons_pl|Драгун
trp_coop_cossack_wildriders|Казацкі вершнік
trp_coop_cossack_wildriders_pl|Казацкія коннікі
trp_coop_crimean_horse_archers|Крымскі Конны лучнік
trp_coop_crimean_horse_archers_pl|Крымскія Конныя Лучнікі
trp_coop_winged_hussars|Крылаты гусар
trp_coop_winged_hussars_pl|Крылатыя гусары
trp_coop_janissary|Янычар
trp_coop_janissary_pl|Янычар
trp_coop_cossack_swordmen|Казацкі мечнік
trp_coop_cossack_swordmen_pl|Казацкія мечнікі
trp_coop_polish_axemen|Польскі сякернік
trp_coop_polish_axemen_pl|Польскія сякернікі
trp_coop_russian_polearmsmen|Рускі бердышник
trp_coop_russian_polearmsmen_pl|Рускія бердышники
trp_coop_swedish_swordsmen|Шведскі мечнік
trp_coop_swedish_swordsmen_pl|Шведскія мечнікі
trp_coop_volunteer_militia|Апалчэнец
trp_coop_volunteer_militia_pl|Апалчэнец
trp_coop_cossack_pistoleers|Казацкі стралок
trp_coop_cossack_pistoleers_pl|Казацкія стрэлкі
trp_coop_lithunian_defenders|Літоўскі абаронца
trp_coop_lithunian_defenders_pl|Літоўскія абаронцы
trp_coop_crimean_hawkeyes|Крымскі лучнік
trp_coop_crimean_hawkeyes_pl|Крымскія Лучнікі
trp_coop_miquelet_musketeers|Мікелет
trp_coop_miquelet_musketeers_pl|Мікелеты
