str_no_string|НЯМА РАДКОЎ!
str_npc2_backstory_b|Кароль Венгрыі-люты вораг валахаў-загадаў распаўсюджваць жахлівыя чуткі аб крыважэрнасці майго продка! Гэтыя жудасныя легенды сталі сапраўдным праклёнам нашай сям'і. Нашчадкі Дракулы пакінулі Трансільванію, так што я вырас у памежным Камянцы.  З нядаўніх часоў вымушаны падарожнічаць. Праўда, не па сваёй волі.
str_npc3_backstory_b|"Я ксёндз Спасакукоцкі. Біскуп Рыгі даў мне невялікую сельскую парафію, а праз тыдзень паслаў туды свайго рызнічага, каб праверыць, як я кіруюся. Па завяршэнні нядзельнай імшы гэты зануда прыйшоў у маю сціплую келлю. Спачатку пацікавіўся, што робіць у мяне прыхаджанка, затым пачаў павучаць. Пакуль ён казаў, што кадзілам падчас службы над галавой не круцяць, я цярпеў. Калі заявіў, што малітву трэба заканчваць словам ""Амін"", а не тым, якім я скончыў, я прамаўчаў. Хоць парафіянам-то мая варыяцыя прыйшлася па душы! Але калі ён пачаў крычаць, што ў Рызе на рынку бачыў прадметы з майго царкоўнага начыння, тут я не вытрымаў і адыходзіў нахабніка шостым так, што яго напаўжывога павезлі."
str_npc4_backstory_b|У бітве пад Берестечком, калі ляхі з крымчакамі разграмілі ўшчэнт Хмяльніцкага, я трапіў у татарскі палон. Татары адвезлі мяне ў Кафу, прапаноўвалі ісці ў найміты да турэцкага султану. Але я перабіў варту і збег.
str_npc5_backstory_b|Я служыў у мушкетным палку генерала Ленарта Торстэнсана, лепшага ваеначальніка Швецыі. Удзельнічаў у бітве пад Янковым, дзе мы ўшчэнт разграмілі адборнае войска германцаў. Вось часы былі! 
str_npc6_backstory_b|Усім бы служба добрая, калі б не адзін пад'ячы тайнага загаду. Сам худы, бороденка казліная, на воку бяльмо, а паклаў вока на маю маладую жонку. Але ведаў, гнілуша, што яна мне Дакладная, вось і ўдумаў каверзу па сваім невясёлым ведамству. Нашаптаў нашаму лоўчаму дзяку, быццам я хваліўся прылюдна, што ў лесе каня цудоўнага бачыў, з рогам у ілбе. А гасудар наш да рэдкага звяр'я ахвота. Вось і далі мне даручэнне-здабыць гэтую стварэньне, а інакш са службы далоў і ў астрог за блудаслоўе.
str_npc7_backstory_b|Завуць мяне Елісей. Я чацвёрты сын Разанскага Баярына Скібы. З самага нараджэння Бацька рыхтаваў нас да вайсковай службы. Я вучыўся ездзіць верхам, страляць з пістоля, фехтаваць. 
str_npc8_backstory_b|Я Бахыт. Пятнаццаць гадоў прапрацаваў у Бахчысараі падручным ханскага ката. Праца, вядома, клапотная, але мне падабалася. Пакуль новы хан не прызначыў новага візіра. 
str_npc9_backstory_b|Мой продак атрымаў свой тытул ад вялікага князя Альгерда ў канцы 14 стагоддзя. За вайсковую доблесць яму былі падараваныя шырокія землі ў горада Бранска. З тых часоў усіх старэйшых сыноў у родзе называюць яго імем. Наш род верай і праўдай служыў Вялікаму Княству Літоўскаму на працягу трох стагоддзяў, а нашы памежныя землі заўсёды былі яблыкам разладу паміж Літвой і Масквой. Уладанні нашы патроху прыходзілі ў заняпад, але мы ўсё яшчэ заставаліся іх гаспадарамі. Але нядаўна маскоўскі цар аддаў іх свайму баярыну.
str_npc10_backstory_b|Сюды я прыбыў па запрашэнні князя Радзівіла. Спачатку быў у яго асабістай ахове, затым атрымаў пяхотную харугву. Мы нядрэнна праявілі сябе ў ваенных дзеяннях. Князь нават падумваў выдаць мне полк...
str_npc11_backstory_b|Я-кіраўнік Нагайскай арды, мурза Нагай. Ува мне цячэ кроў вялікага Чынгісхана, а мае продкі зналіся з маскоўскімі царамі. Я не магу спакойна глядзець, як Крымскім ханствам кіруюць бязродныя Гірэі. Я яшчэ і даніну ім плаціць павінен.
